"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",3340.31000
BFM5,A2MMGPS,国内贫瘦煤,2346.67000
BFM5,A2MMJPS1,"1级贫瘦煤",100.00000
BFM5,A2MMSYM2,"2级1/3焦煤",9193.73000
BFM5,A2MMZJM2,"2级主焦煤",1749.98000
LJM1,A2MMFFM1,"1级肥煤",12261.91500
LJM1,A2MMFFM2,"2级肥煤",16027.19200
LJM1,A2MMJPS1,"1级贫瘦煤",2911.93700
LJM1,A2MMQQM1,"1级气煤",256.24000
LJM1,A2MMQQM2,"2级气煤",6433.89000
LJM1,A2MMSJM2,"2级瘦焦煤",5712.30700
LJM1,A2MMSYM1,"1级1/3焦煤",4013.02100
LJM1,A2MMSYM2,"2级1/3焦煤",676.89000
LJM1,A2MMSYM3,"3级1/3焦煤",4524.23800
LJM1,A2MMZJM1,"1级主焦煤",28906.13000
LJM1,A2MMZJM2,"2级主焦煤",3053.91700
LJM1,A2MMZJM3,"3级主焦煤",21621.61000
LJM4,A2MMFFM1,"1级肥煤",4693.95600
LJM4,A2MMFFM2,"2级肥煤",4661.34200
LJM4,A2MMQQM1,"1级气煤",1101.84300
LJM4,A2MMSJM2,"2级瘦焦煤",4343.02000
LJM4,A2MMSYM1,"1级1/3焦煤",4.40600
LJM4,A2MMSYM2,"2级1/3焦煤",5367.00000
LJM4,A2MMSYM3,"3级1/3焦煤",1490.50800
LJM4,A2MMZJM1,"1级主焦煤",15081.71000
LJM4,A2MMZJM2,"2级主焦煤",6298.31000
LJM4,A2MMZJM3,"3级主焦煤",9278.39700
LJM5,A2MMFFM1,"1级肥煤",11335.79700
LJM5,A2MMGPS,国内贫瘦煤,13004.66000
LJM5,A2MMJPS1,"1级贫瘦煤",2721.41600
LJM5,A2MMQQM1,"1级气煤",824.52000
LJM5,A2MMSJM2,"2级瘦焦煤",4238.28000
LJM5,A2MMSYM1,"1级1/3焦煤",589.80000
LJM5,A2MMSYM2,"2级1/3焦煤",1973.80000
LJM5,A2MMSYM3,"3级1/3焦煤",2596.92000
LJM5,A2MMZJM1,"1级主焦煤",18928.59400
LJM5,A2MMZJM2,"2级主焦煤",7122.26100
LJM5,A2MMZJM3,"3级主焦煤",9904.03100
